"index","date","depth","coverage","notes"
"444","04/16/201512:00:00","WSCT0445.JPG","0.0","0.0"
"447","04/17/201512:00:00","WSCT0448.JPG","0.0","0.0"
"450","04/18/201512:00:00","WSCT0451.JPG","0.0","0.0"
"453","04/19/201512:00:00","WSCT0454.JPG","0.0","0.0"
"456","04/20/201512:00:00","WSCT0457.JPG","0.0","0.0"
"459","04/21/201512:00:00","WSCT0460.JPG","0.0","0.0"
"462","04/22/201512:00:00","WSCT0463.JPG","0.0","0.0"
"465","04/23/201512:00:00","WSCT0466.JPG","0.0","0.0"
"468","04/24/201512:00:00","WSCT0469.JPG","0.0","0.0"
"471","04/25/201512:00:00","WSCT0472.JPG","0.0","0.0"
"474","04/26/201512:00:00","WSCT0475.JPG","0.0","0.0"
"477","04/27/201512:00:00","WSCT0478.JPG","0.0","0.0"
"480","04/28/201512:00:00","WSCT0481.JPG","0.0","0.0"
"483","04/29/201512:00:00","WSCT0484.JPG","0.0","0.0"
"486","04/30/201512:00:00","WSCT0487.JPG","0.0","0.0"
"489","05/01/201512:00:00","WSCT0490.JPG","0.0","0.0"
"492","05/02/201512:00:00","WSCT0493.JPG","0.0","0.0"
"495","05/03/201512:00:00","WSCT0496.JPG","0.0","0.0"
"498","05/04/201512:00:00","WSCT0499.JPG","0.0","0.0"
"501","05/05/201512:00:00","WSCT0502.JPG","0.0","0.0"
"504","05/06/201512:00:00","WSCT0505.JPG","0.0","0.0"
"507","05/07/201512:00:00","WSCT0508.JPG","0.0","0.0"
"510","05/08/201512:00:00","WSCT0511.JPG","0.0","0.0"
"513","05/09/201512:00:00","WSCT0514.JPG","0.0","0.0"
"516","05/10/201512:00:00","WSCT0517.JPG","0.0","0.0"
"519","05/11/201512:00:00","WSCT0520.JPG","0.0","0.0"
"522","05/12/201512:00:00","WSCT0523.JPG","0.0","0.0"
"525","05/13/201512:00:00","WSCT0526.JPG","0.0","0.0"
